Match_ID,Match_Date,Championship_Match,WinLoss,WinChampionship,LoseChampionship,SinglesChampionshipHeld,TagChampionshipHeld,IsTitleMatch
713,09.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
712,08.11.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
711,05.11.2006,WWE Championship,Loss,No,No,WWE Championship,No Championship,Yes
710,30.10.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
709,29.10.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
708,28.10.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
707,27.10.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
706,24.10.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
705,23.10.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
704,14.10.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
703,09.10.2006,Exhibition,No Contest,No,No,WWE Championship,No Championship,No
702,02.10.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
701,01.10.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
700,26.09.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
699,25.09.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
698,25.09.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
697,23.09.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
696,21.09.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
695,20.09.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
694,18.09.2006,Exhibition,Loss,No,No,WWE Championship,No Championship,No
693,17.09.2006,WWE Championship,Win,Yes,No,WWE Championship,No Championship,Yes
692,11.09.2006,Exhibition,Win,No,No,No Championship,No Championship,No
691,10.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
690,09.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
689,08.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
688,04.09.2006,Exhibition,Loss,No,No,No Championship,No Championship,No
687,04.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
686,03.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
685,02.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
684,01.09.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
683,28.08.2006,Exhibition,Win,No,No,No Championship,No Championship,No
682,28.08.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
681,27.08.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
680,26.08.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
679,25.08.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
678,20.08.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
677,14.08.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
676,13.08.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
675,12.08.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
674,07.08.2006,Exhibition,Win,No,No,No Championship,No Championship,No
673,07.08.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
672,05.08.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
671,04.08.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
670,03.08.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
669,31.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
668,30.07.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
667,29.07.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
666,28.07.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
665,24.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
664,24.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
663,22.07.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
662,17.07.2006,Exhibition,Loss,No,No,No Championship,No Championship,No
661,17.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
660,16.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
659,15.07.2006,WWE Championship,Win,No,No,No Championship,No Championship,Yes
658,10.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
657,09.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
656,08.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
655,07.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
654,03.07.2006,WWE Championship,Loss,No,No,No Championship,No Championship,Yes
653,02.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
652,01.07.2006,Exhibition,Win,No,No,No Championship,No Championship,No
651,30.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
650,26.06.2006,WWE Championship,No Contest,No,No,No Championship,No Championship,Yes
649,25.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
648,19.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
647,18.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
646,17.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
645,16.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
644,12.06.2006,Exhibition,Win,No,No,No Championship,No Championship,No
643,11.06.2006,WWE Championship,Loss,No,Yes,WWE Championship,No Championship,Yes
642,07.06.2006,Exhibition,Win,No,No,WWE Championship,No Championship,No
641,06.06.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
640,04.06.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
639,03.06.2006,WWE Championship,Win,No,No,WWE Championship,No Championship,Yes
