Match_ID,Match_Date,Venue,CityTown,StateProvince,Country
1412,05.08.2011,Maverik Center,West Valley City,Utah,USA
1411,01.08.2011,Conseco Fieldhouse,Indianapolis,Indiana,USA
1410,31.07.2011,Prairie Capital Convention Center,Springfield,Illinois,USA
1409,30.07.2011,Rockford MetroCentre,Rockford,Illinois,USA
1408,29.07.2011,Peoria Civic Center,Peoria,Illinois,USA
1407,25.07.2011,Hampton Coliseum,Hampton,Virginia,USA
1406,24.07.2011,Show Place Arena,Upper Marlboro,Maryland,USA
1405,23.07.2011,Wildwoods Convention Center,Wildwood,New Jersey,USA
1404,22.07.2011,MassMutual Center,Springfield,Massachusetts,USA
1403,17.07.2011,Allstate Arena,Rosemont,Illinois,USA
1402,16.07.2011,Bradley Center,Milwaukee,Wisconsin,USA
1401,11.07.2011,TD Garden,Boston,Massachusetts,USA
1400,11.07.2011,TD Garden,Boston,Massachusetts,USA
1399,06.07.2011,Vector Arena,Auckland,North Island,New Zealand
1398,05.07.2011,Brisbane Entertainment Centre,Boondall,Queensland,Australia
1397,04.07.2011,Adelaide Entertainment Centre,Adelaide,South Australia,Australia
1396,03.07.2011,Burswood Dome,Perth,Western Australia,Australia
1395,02.07.2011,Rod Laver Arena,Melbourne,Victoria,Australia
1394,01.07.2011,Acer Arena,Sydney,New South Wales,Australia
1393,27.06.2011,Thomas & Mack Center,Las Vegas,Nevada,USA
1392,27.06.2011,Thomas & Mack Center,Las Vegas,Nevada,USA
1391,26.06.2011,Toyota Center,Houston,Texas,USA
1390,25.06.2011,American Airlines Center,Dallas,Texas,USA
1389,20.06.2011,1st Mariner Arena,Baltimore,Maryland,USA
1388,19.06.2011,Verizon Center,Washington,District Of Columbia,USA
1387,18.06.2011,Izod Center,East Rutherford,New Jersey,USA
1386,17.06.2011,Tsongas Center At UMass Lowell,Lowell,Massachusetts,USA
1385,13.06.2011,Nassau Veterans Memorial Coliseum,Uniondale,New York,USA
1384,13.06.2011,Nassau Veterans Memorial Coliseum,Uniondale,New York,USA
1383,12.06.2011,Stabler Arena,Bethlehem,Pennsylvania,USA
1382,11.06.2011,Blue Cross Arena,Rochester,New York,USA
1381,10.06.2011,War Memorial Arena At The Oncenter,Syracuse,New York,USA
1380,06.06.2011,Richmond Coliseum,Richmond,Virginia,USA
1379,06.06.2011,Richmond Coliseum,Richmond,Virginia,USA
1378,05.06.2011,John Paul Jones Arena,Charlottesville,Virginia,USA
1377,04.06.2011,Crown Coliseum,Fayetteville,North Carolina,USA
1376,03.06.2011,Propst Arena At Von Braun Center,Huntsville,Alabama,USA
1375,30.05.2011,Qwest Center,Omaha,Nebraska,USA
1374,30.05.2011,Qwest Center,Omaha,Nebraska,USA
1373,29.05.2011,Sioux Falls Arena,Sioux Falls,South Dakota,USA
1372,28.05.2011,Tyson Event Center,Sioux City,Iowa,USA
1371,27.05.2011,MTS Centre,Winnipeg,Manitoba,Canada
1370,23.05.2011,Rose Garden,Portland,Oregon,USA
1369,22.05.2011,KeyArena,Seattle,Washington,USA
1368,21.05.2011,Yakima Valley SunDome,Yakima,Washington,USA
1367,16.05.2011,AT&T Center,San Antonio,Texas,USA
1366,16.05.2011,AT&T Center,San Antonio,Texas,USA
1365,14.05.2011,Arena Monterrey,Monterrey,Nuevo Leon,Mexico
1364,13.05.2011,Palacio de los Deportes,Mexico City,Distrito Federal,Mexico
1363,12.05.2011,VFG Arena,Guadalajara,Jalisco,Mexico
1362,11.05.2011,Centro de Usos Multiples,Hermosillo,Sonora,Mexico
1361,10.05.2011,The Bank of Kentucky Center,Highland Heights,Kentucky,USA
1360,09.05.2011,Thompson-Boling Arena At Food City Center,Knoxville,Tennessee,USA
1359,09.05.2011,Thompson-Boling Arena At Food City Center,Knoxville,Tennessee,USA
1358,08.05.2011,Bi Lo Center,Greenville,South Carolina,USA
1357,07.05.2011,Macon Centreplex Coliseum,Macon,Georgia,USA
1356,06.05.2011,Dothan Civic Center,Dothan,Alabama,USA
1355,02.05.2011,AmericanAirlines Arena,Miami,Florida,USA
1354,01.05.2011,St. Pete Times Forum,Tampa,Florida,USA
1353,25.04.2011,RBC Center,Raleigh,North Carolina,USA
1352,25.04.2011,RBC Center,Raleigh,North Carolina,USA
1351,23.04.2011,Qatar Sports Club,Doha,Qatar,Qatar
1350,22.04.2011,Qatar Sports Club,Doha,Qatar,Qatar
1349,21.04.2011,Sala Polivalenta,Bukarest,Romania,Romania
1348,20.04.2011,Salzburgarena,Salzburg,Österreich,Austria
1347,19.04.2011,Motorpoint Arena Cardiff,Cardiff,Wales,Wales
1346,18.04.2011,O2 Arena,London,England,England
1345,18.04.2011,O2 Arena,London,England,England
1344,17.04.2011,Trent FM Arena Nottingham,Nottingham,Nottinghamshire,England
1343,16.04.2011,LG Arena,Birmingham,West Midlands,England
1342,16.04.2011,LG Arena,Birmingham,West Midlands,England
1341,15.04.2011,O2 Arena,Dublin,Ireland,Ireland
1340,14.04.2011,Odyssey Arena,Belfast,Ireland,Ireland
1339,13.04.2011,Braehead Arena,Glasgow,Scotland,Scotland
1338,11.04.2011,Webster Bank Arena,Bridgeport,Connecticut,USA
1337,03.04.2011,Georgia Dome,Atlanta,Georgia,USA
1336,28.03.2011,Allstate Arena,Rosemont,Illinois,USA
1335,27.03.2011,Conseco Fieldhouse,Indianapolis,Indiana,USA
1334,26.03.2011,Roberts Municipal Stadium,Evansville,Indiana,USA
1333,25.03.2011,Assembly Hall,Champaign,Illinois,USA
1332,21.03.2011,CONSOL Energy Center,Pittsburgh,Pennsylvania,USA
1331,20.03.2011,Prudential Center,Newark,New Jersey,USA
1330,19.03.2011,Madison Square Garden,New York City,New York,USA
1329,18.03.2011,XL Center,Hartford,Connecticut,USA
1328,14.03.2011,Scottrade Center,St. Louis,Missouri,USA
1327,13.03.2011,Oklahoma City Arena,Oklahoma City,Oklahoma,USA
1326,12.03.2011,INTRUST Bank Arena,Wichita,Kansas,USA
1325,11.03.2011,JQH Arena,Springfield,Missouri,USA
1324,08.03.2011,Toyota Center,Houston,Texas,USA
